step,fileName,notes
dummy,,
center,DemPoRT-R-male-center.csv,
interaction,DemPoRT-R-male-interactions.csv,
rcs,DemPoRT-R-male-rcs.csv,
fine-and-gray,DemPoRT-R-male-fine-and-gray.csv,
